epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.276,1.34831,2.51203,1.04643,0.0041,1,0.14216,0.07856,1.57751,3.26888,1.20862,0.00042,0.00042,0.00042
2,248.016,1.15809,1.39316,1.02194,0.00385,0.9375,0.17224,0.10633,1.4442,3.29512,1.33578,0.00081743,0.00081743,0.00081743
3,377.208,1.2323,1.34494,1.00868,0.00372,0.90625,0.08503,0.04708,1.8652,3.36517,1.56987,0.0011713,0.0011713,0.0011713
4,505.583,1.24468,1.39966,1.01811,0.30858,0.21875,0.21459,0.09483,1.84806,3.21185,1.65385,0.00148161,0.00148161,0.00148161
5,628.807,1.19282,1.86099,0.97547,0.3529,0.15625,0.11802,0.05089,1.86136,3.36966,1.73289,0.001604,0.001604,0.001604
6,755.142,1.2266,1.29666,1.0032,0.17034,0.25,0.1342,0.07173,2.07447,3.08314,1.82405,0.001505,0.001505,0.001505
7,1404.22,1.16253,1.13527,0.9991,0.19608,0.15625,0.09073,0.03923,2.3547,3.25024,2.0197,0.001406,0.001406,0.001406
8,1538.65,1.10185,1.14159,0.98593,0.11836,0.125,0.04849,0.0267,2.2132,3.51124,2.02761,0.001307,0.001307,0.001307
9,2037.84,1.11544,1.11714,0.96538,0.30474,0.23317,0.14722,0.07325,2.1473,3.05386,1.96654,0.001208,0.001208,0.001208
10,2169.73,1.08216,1.03454,0.96951,0.42256,0.21875,0.18354,0.08753,1.94106,2.95516,1.78096,0.001109,0.001109,0.001109
11,2302.59,0.95114,1.21946,0.93936,0.26871,0.25,0.15736,0.07543,2.09371,3.40119,1.81,0.00101,0.00101,0.00101
12,2434.62,1.03874,1.1311,0.95284,0.13698,0.34375,0.12194,0.06082,2.20763,3.65532,1.86274,0.000911,0.000911,0.000911
13,2563.21,0.99896,1.23772,0.91762,0.3272,0.3125,0.22781,0.12026,2.14012,3.08408,1.81788,0.000812,0.000812,0.000812
14,2692.54,0.99829,1.02505,0.92598,0.35739,0.3125,0.21167,0.13215,2.00332,2.85007,1.7852,0.000713,0.000713,0.000713
15,2817.3,0.98909,1.01272,0.93648,0.2492,0.3125,0.17479,0.12094,1.74945,2.83097,1.56544,0.000614,0.000614,0.000614
16,2945.05,0.94055,0.95989,0.91487,0.60853,0.25,0.24628,0.15276,1.88004,2.71799,1.68787,0.000515,0.000515,0.000515
17,3074.57,0.83519,1.18859,0.8715,0.33388,0.34375,0.25499,0.14028,2.04363,2.7745,1.74766,0.000416,0.000416,0.000416
18,3200.47,0.84946,0.94261,0.89749,0.24149,0.34375,0.20555,0.09367,2.22791,2.87168,1.86634,0.000317,0.000317,0.000317
19,3329.69,0.8439,0.90563,0.89962,0.40241,0.15625,0.17454,0.07311,2.32926,2.94068,1.92734,0.000218,0.000218,0.000218
20,3454.98,0.80169,0.81824,0.89503,0.35057,0.1875,0.16825,0.08,2.25154,2.9431,1.87041,0.000119,0.000119,0.000119
